longname
"Ehatis 11 Indian Reserve, Strathcona Regional district, British Columbia, Canada"
"Glen Harbour Resort Village, Division No. 6, Saskatchewan, Canada"
"Okanagan (Part) 1 Indian Reserve, Columbia-Shuswap Regional district, British Columbia, Canada"
"Elfros Village, Division No. 10, Saskatchewan, Canada"
"Esowista 3 Indian Reserve, Alberni-Clayoquot Regional district, British Columbia, Canada"
"Hazlet Village, Division No. 8, Saskatchewan, Canada"
"Marquis Village, Division No. 7, Saskatchewan, Canada"
"Ye Koo Che 3 Indian Reserve, Bulkley-Nechako Regional district, British Columbia, Canada"
"Hyas Village, Division No. 9, Saskatchewan, Canada"
"Kiskaciwan No. 208 Indian Reserve, Division No. 15, Saskatchewan, Canada"
"Laniel Unorganized, Témiscamingue CRM, Quebec, Canada"
"Quinton Village, Division No. 10, Saskatchewan, Canada"
"Skway 5 Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Stenen Village, Division No. 9, Saskatchewan, Canada"
"Wabasca 166B Indian Reserve, Division No. 17, Alberta, Canada"
"Dog Creek 1 Indian Reserve, Cariboo Regional district, British Columbia, Canada"
"Neville Village, Division No. 3, Saskatchewan, Canada"
"Ojibway Nation of Saugeen (Savant Lake) Indian Reserve, Thunder Bay District, Ontario, Canada"
"Babine 17 Indian Reserve, Kitimat-Stikine Regional district, British Columbia, Canada"
"Millertown Town, Division No. 6, Newfoundland and Labrador, Canada"
"Point Lance Town, Division No. 1, Newfoundland and Labrador, Canada"
"Victoria Fire District, Prince County, Prince Edward Island, Canada"
"Chopaka 7 & 8 Indian Reserve, Okanagan-Similkameen Regional district, British Columbia, Canada"
"Chuchuwayha 2 Indian Reserve, Okanagan-Similkameen Regional district, British Columbia, Canada"
"Metinota Resort Village, Division No. 17, Saskatchewan, Canada"
"Portugal Cove South Town, Division No. 1, Newfoundland and Labrador, Canada"
"St. Joseph's Town, Division No. 1, Newfoundland and Labrador, Canada"
"Storthoaks Village, Division No. 1, Saskatchewan, Canada"
"Carievale Village, Division No. 1, Saskatchewan, Canada"
"Dog Head 218 Indian Reserve, Division No. 16, Alberta, Canada"
"Doig River 206 Indian Reserve, Peace River Regional district, British Columbia, Canada"
"Baie-Johan-Beetz Municipalité, Minganie--Le Golfe-du-Saint-Laurent CDR, Quebec, Canada"
"Fort George 2 Indian Reserve, Fraser-Fort George Regional district, British Columbia, Canada"
"Little Bay East Town, Division No. 2, Newfoundland and Labrador, Canada"
"Tantallon Village, Division No. 5, Saskatchewan, Canada"
"Babine 25 Indian Reserve, Bulkley-Nechako Regional district, British Columbia, Canada"
"Five Mile Point 3 Indian Reserve, Stikine Region, British Columbia, Canada"
"Togo Village, Division No. 9, Saskatchewan, Canada"
"Alice Beach Resort Village, Division No. 6, Saskatchewan, Canada"
"Aylsham Village, Division No. 14, Saskatchewan, Canada"
"Beaver Flat Resort Village, Division No. 7, Saskatchewan, Canada"
"Ghost Lake Summer Village, Division No. 15, Alberta, Canada"
"Klickkumcheen 18 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Qualicum Indian Reserve, Nanaimo Regional district, British Columbia, Canada"
"Tsussie 6 Indian Reserve, Cowichan Valley Regional district, British Columbia, Canada"
"Barkmere Ville, Les Laurentides CRM, Quebec, Canada"
"Calder Village, Division No. 9, Saskatchewan, Canada"
"Division No. 9, Subd. F, Division No. 9, Newfoundland and Labrador, Canada"
"Gold River 21 Indian Reserve, Lunenburg County, Nova Scotia, Canada"
"Horseshoe Bay Summer Village, Division No. 12, Alberta, Canada"
"Island Lake South Summer Village, Division No. 13, Alberta, Canada"
"McLeod Lake 1 Indian Reserve, Fraser-Fort George Regional district, British Columbia, Canada"
"Nahanni Butte Settlement, Region 4 Region, Northwest Territories, Canada"
"Nazco 20 Indian Reserve, Cariboo Regional district, British Columbia, Canada"
"Shoal Lake 34B2 Indian Reserve, Kenora District, Ontario, Canada"
"Timber Bay Northern Hamlet, Division No. 18, Saskatchewan, Canada"
"Coryatsaqua (Moricetown) 2 Indian Reserve, Kitimat-Stikine Regional district, British Columbia, Canada"
"Division No. 7, Subd. I, Division No. 7, Newfoundland and Labrador, Canada"
"Pleasantdale Village, Division No. 14, Saskatchewan, Canada"
"St. Benedict Village, Division No. 15, Saskatchewan, Canada"
"Belle Plaine Village, Division No. 6, Saskatchewan, Canada"
"Gordon River 2 Indian Reserve, Capital Regional district, British Columbia, Canada"
"Tugaske Village, Division No. 7, Saskatchewan, Canada"
"Wa-Pii Moos-Toosis (White Calf) 83A Indian Reserve, Division No. 6, Saskatchewan, Canada"
"Beaver Creek Settlement, Yukon Territory, Yukon, Canada"
"Makwa Village, Division No. 17, Saskatchewan, Canada"
"Nakamun Park Summer Village, Division No. 13, Alberta, Canada"
"Sceptre Village, Division No. 8, Saskatchewan, Canada"
"Katit 1 Indian Reserve, Central Coast Regional district, British Columbia, Canada"
"St. George's Hill Northern Hamlet, Division No. 18, Saskatchewan, Canada"
"Gambler 63 (Part) Indian Reserve, Division No. 16, Manitoba, Canada"
"Glen McPherson No. 46 Rural Municipality, Division No. 3, Saskatchewan, Canada"
"Lower Similkameen 2 Indian Reserve, Okanagan-Similkameen Regional district, British Columbia, Canada"
"Saint-Guy Municipalité, Les Basques CRM, Quebec, Canada"
"Stullawheets 8 Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Trinity (Trinity Bay) Town, Division No. 7, Newfoundland and Labrador, Canada"
"Alvena Village, Division No. 15, Saskatchewan, Canada"
"Babine 6 Indian Reserve, Bulkley-Nechako Regional district, British Columbia, Canada"
"Denholm Village, Division No. 16, Saskatchewan, Canada"
"Endeavour Village, Division No. 9, Saskatchewan, Canada"
"Enterprise Hamlet, Region 5 Region, Northwest Territories, Canada"
"Hazenmore Village, Division No. 3, Saskatchewan, Canada"
"King's Cove Town, Division No. 7, Newfoundland and Labrador, Canada"
"Marengo Village, Division No. 13, Saskatchewan, Canada"
"Pelican Lake 191B Indian Reserve, Division No. 16, Saskatchewan, Canada"
"Roche Percée Village, Division No. 1, Saskatchewan, Canada"
"Wee Too Beach Resort Village, Division No. 6, Saskatchewan, Canada"
"Zealandia Town, Division No. 12, Saskatchewan, Canada"
"Aquaforte Town, Division No. 1, Newfoundland and Labrador, Canada"
"Change Islands Town, Division No. 8, Newfoundland and Labrador, Canada"
"Crystal Springs Summer Village, Division No. 11, Alberta, Canada"
"Division No. 23, Unorganized, Division No. 23, Manitoba, Canada"
"Division No. 3, Subd. E, Division No. 3, Newfoundland and Labrador, Canada"
"Drinkwater Village, Division No. 6, Saskatchewan, Canada"
"Kitimat-Stikine D Regional District Electoral Area, Kitimat-Stikine Regional district, British Columbia, Canada"
"Montague Fire District, Queens County, Prince Edward Island, Canada"
"Nippers Harbour Town, Division No. 8, Newfoundland and Labrador, Canada"
"Scott Town, Division No. 13, Saskatchewan, Canada"
"Fort Vermilion 173B Indian Reserve, Division No. 17, Alberta, Canada"
"Glenside Village, Division No. 11, Saskatchewan, Canada"
"Kulspai 6 Indian Reserve, Kitimat-Stikine Regional district, British Columbia, Canada"
"L'Île-Cadieux Ville, Vaudreuil-Soulanges CRM, Quebec, Canada"
"Pheasant Rump Nakota 68 Indian Reserve, Division No. 1, Saskatchewan, Canada"
"South View Summer Village, Division No. 13, Alberta, Canada"
"Speers Village, Division No. 16, Saskatchewan, Canada"
"Bladworth Village, Division No. 11, Saskatchewan, Canada"
"Dubuc Village, Division No. 5, Saskatchewan, Canada"
"Norris Beach Summer Village, Division No. 11, Alberta, Canada"
"Notre-Dame-des-Sept-Douleurs Paroisse, Rivière-du-Loup CRM, Quebec, Canada"
"Semiahmoo Indian Reserve, Greater Vancouver Regional district, British Columbia, Canada"
"Webb Village, Division No. 8, Saskatchewan, Canada"
"Bonnyville Beach Summer Village, Division No. 12, Alberta, Canada"
"Fleming Town, Division No. 5, Saskatchewan, Canada"
"Rama Village, Division No. 9, Saskatchewan, Canada"
"South Baptiste Summer Village, Division No. 13, Alberta, Canada"
"Tlaa Gaa Aawtlaas 28 Indian Reserve, Skeena-Queen Charlotte Regional district, British Columbia, Canada"
"Pebble Baye Resort Village, Division No. 16, Saskatchewan, Canada"
"Saint-Venant-de-Paquette Municipalité, Coaticook CRM, Quebec, Canada"
"St. Louis Rural Municipality, Prince County, Prince Edward Island, Canada"
"Sturgeon Weir 205 Indian Reserve, Division No. 18, Saskatchewan, Canada"
"Cold Lake 149A Indian Reserve, Division No. 12, Alberta, Canada"
"Echo Bay Resort Village, Division No. 16, Saskatchewan, Canada"
"Liberty Village, Division No. 11, Saskatchewan, Canada"
"Aylesbury Village, Division No. 7, Saskatchewan, Canada"
"Birch Cove Summer Village, Division No. 13, Alberta, Canada"
"Point au Gaul Town, Division No. 2, Newfoundland and Labrador, Canada"
"Cayoosh Creek 1 Indian Reserve, Squamish-Lillooet Regional district, British Columbia, Canada"
"Clarendon Parish, Charlotte County, New Brunswick, Canada"
"Douglas 8 Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Kulkayu (Hartley Bay) 4A Indian Reserve, Skeena-Queen Charlotte Regional district, British Columbia, Canada"
"Matachewan 72 Indian Reserve, Timiskaming District, Ontario, Canada"
"Nekliptum 1 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Wakaw Lake Resort Village, Division No. 15, Saskatchewan, Canada"
"Yellow Quill 90-9 Indian Reserve, Division No. 14, Saskatchewan, Canada"
"Beatty Village, Division No. 15, Saskatchewan, Canada"
"Half Moon Bay Summer Village, Division No. 8, Alberta, Canada"
"Macrorie Village, Division No. 12, Saskatchewan, Canada"
"Margo Village, Division No. 10, Saskatchewan, Canada"
"Pilger Village, Division No. 15, Saskatchewan, Canada"
"Ridgedale Village, Division No. 14, Saskatchewan, Canada"
"Big Shell Resort Village, Division No. 16, Saskatchewan, Canada"
"Burwash Landing Settlement, Yukon Territory, Yukon, Canada"
"Pinware Town, Division No. 10, Newfoundland and Labrador, Canada"
"Switsemalph 3 Indian Reserve, Columbia-Shuswap Regional district, British Columbia, Canada"
"Tignish Shore Rural Municipality, Prince County, Prince Edward Island, Canada"
"Wiseton Village, Division No. 12, Saskatchewan, Canada"
"Chilhil 6 Indian Reserve, Squamish-Lillooet Regional district, British Columbia, Canada"
"Fountain 1B Indian Reserve, Squamish-Lillooet Regional district, British Columbia, Canada"
"Gros Cap 49 Indian Reserve, Algoma District, Ontario, Canada"
"Jean Marie River Settlement, Region 4 Region, Northwest Territories, Canada"
"Patuanak Northern Hamlet, Division No. 18, Saskatchewan, Canada"
"Chapleau Cree Fox Lake Indian Reserve, Sudbury District, Ontario, Canada"
"Ilford Indian Settlement, Division No. 22, Manitoba, Canada"
"Schkam 2 Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Division No. 3, Subd. I, Division No. 3, Newfoundland and Labrador, Canada"
"Lower Hat Creek 2 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"McAdam Parish, York County, New Brunswick, Canada"
"Dilke Village, Division No. 6, Saskatchewan, Canada"
"Findlater Village, Division No. 6, Saskatchewan, Canada"
"Kinley Village, Division No. 12, Saskatchewan, Canada"
"Lac-Tremblant-Nord Municipalité, Les Laurentides CRM, Quebec, Canada"
"Mooseocoot Indian Reserve, Division No. 22, Manitoba, Canada"
"Plunkett Village, Division No. 11, Saskatchewan, Canada"
"Rivière-Ojima Unorganized, Abitibi-Ouest CRM, Quebec, Canada"
"Tork 7 Indian Reserve, Strathcona Regional district, British Columbia, Canada"
"Kendal Village, Division No. 6, Saskatchewan, Canada"
"Kowtain 17 Indian Reserve, Squamish-Lillooet Regional district, British Columbia, Canada"
"Rivière-Bonaventure Unorganized, Bonaventure CRM, Quebec, Canada"
"A Kwis Ki Mahka Indian Reserve, Division No. 23, Manitoba, Canada"
"Ashnola 10 Indian Reserve, Okanagan-Similkameen Regional district, British Columbia, Canada"
"Disley Village, Division No. 6, Saskatchewan, Canada"
"Fort Rupert 1 Indian Reserve, Mount Waddington Regional district, British Columbia, Canada"
"Joeyaska 2 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Killaly Village, Division No. 5, Saskatchewan, Canada"
"Kulkayu (Hartley Bay) 4 Indian Reserve, Skeena-Queen Charlotte Regional district, British Columbia, Canada"
"Lac-Ministuk Unorganized, Le Saguenay-et-son-Fjord CDR, Quebec, Canada"
"Lancer Village, Division No. 8, Saskatchewan, Canada"
"Division No. 7, Subd. B, Division No. 7, Newfoundland and Labrador, Canada"
"Pashilqua 2 Indian Reserve, Squamish-Lillooet Regional district, British Columbia, Canada"
"Stryen 9 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Wabauskang 21 Indian Reserve, Kenora District, Ontario, Canada"
"Waiparous Summer Village, Division No. 15, Alberta, Canada"
"Whispering Pines 4 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Canoe Creek 1 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Rolling River 67B Indian Reserve, Division No. 15, Manitoba, Canada"
"Brownlee Village, Division No. 7, Saskatchewan, Canada"
"Coquitlam 1 Indian Reserve, Greater Vancouver Regional district, British Columbia, Canada"
"Division No. 1, Subd. V, Division No. 1, Newfoundland and Labrador, Canada"
"Division No. 10, Subd. A, Division No. 10, Newfoundland and Labrador, Canada"
"Division No. 7, Subd. N, Division No. 7, Newfoundland and Labrador, Canada"
"Markinch Village, Division No. 6, Saskatchewan, Canada"
"Rush Lake Village, Division No. 7, Saskatchewan, Canada"
"Silver Beach Summer Village, Division No. 11, Alberta, Canada"
"Spuzzum 1 Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"St. Shott's Town, Division No. 1, Newfoundland and Labrador, Canada"
"Strongfield Village, Division No. 11, Saskatchewan, Canada"
"Sunset Beach Summer Village, Division No. 13, Alberta, Canada"
"The Narrows 49 Indian Reserve, Division No. 19, Manitoba, Canada"
"Weirdale Village, Division No. 15, Saskatchewan, Canada"
"Dease Lake 9 Indian Reserve, Kitimat-Stikine Regional district, British Columbia, Canada"
"Division No. 10, Subd. C, Division No. 10, Newfoundland and Labrador, Canada"
"Melville Beach Resort Village, Division No. 5, Saskatchewan, Canada"
"Chum Creek 2 Indian Reserve, Columbia-Shuswap Regional district, British Columbia, Canada"
"Larkspur Summer Village, Division No. 13, Alberta, Canada"
"Bellburns Town, Division No. 9, Newfoundland and Labrador, Canada"
"Lukseetsissum 9 Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Northwest Angle 33B Indian Reserve, Kenora District, Ontario, Canada"
"Chorney Beach Resort Village, Division No. 10, Saskatchewan, Canada"
"Mont-Élie Unorganized, Charlevoix-Est CRM, Quebec, Canada"
"Telegraph Creek Indian Reserve, Kitimat-Stikine Regional district, British Columbia, Canada"
"Consul Village, Division No. 4, Saskatchewan, Canada"
"Gallants Town, Division No. 4, Newfoundland and Labrador, Canada"
"Hawarden Village, Division No. 11, Saskatchewan, Canada"
"Love Village, Division No. 14, Saskatchewan, Canada"
"MacNutt Village, Division No. 5, Saskatchewan, Canada"
"Minton Village, Division No. 2, Saskatchewan, Canada"
"Q'alatkú7em Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Shackan 11 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Weekes Village, Division No. 14, Saskatchewan, Canada"
"Cheslatta 1 Indian Reserve, Bulkley-Nechako Regional district, British Columbia, Canada"
"Lake of the Woods 37 Indian Reserve, Kenora District, Ontario, Canada"
"Port Kirwan Town, Division No. 1, Newfoundland and Labrador, Canada"
"Wildcat 12 Indian Reserve, Queens County, Nova Scotia, Canada"
"Yakweakwioose 12 Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Kitimat-Stikine A Regional District Electoral Area, Kitimat-Stikine Regional district, British Columbia, Canada"
"Pavilion 1 Indian Reserve, Squamish-Lillooet Regional district, British Columbia, Canada"
"Theik 2 Indian Reserve, Cowichan Valley Regional district, British Columbia, Canada"
"Yarbo Village, Division No. 5, Saskatchewan, Canada"
"Lac-des-Eaux-Mortes Unorganized, La Mitis CRM, Quebec, Canada"
"Rocky Point 3 Indian Reserve, Queens County, Prince Edward Island, Canada"
"Keels Town, Division No. 7, Newfoundland and Labrador, Canada"
"West Baptiste Summer Village, Division No. 13, Alberta, Canada"
"Aitchelitch 9 Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Division No. 3, Subd. A, Division No. 3, Newfoundland and Labrador, Canada"
"Hubbard Village, Division No. 10, Saskatchewan, Canada"
