longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time < 15 min % [StatCan],Commute Time 15 - 29 min %,Commute Time 15 - 29 min % [StatCan],Commute Time 30 - 59 min %,Commute Time 30 - 59 min % [StatCan],Commute Time > 60 min %,Commute Time > 60 min % [StatCan],Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"National Capital District (Port Moresby), Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"Bugiri, Uganda",,,,,,,,,,,,,,,,,,,,
"Bakool, Somalia",,,,,,,,,,,,,,,,,,,,
"Shamāl Sīnā’, Egypt",,,,,,,,,,,,,,,,,,,,
"El Paraíso, Honduras",,,,,,,,,,,,,,,,,,,,
"Lira, Uganda",,,,,,,,,,,,,,,,,,,,
"Điện Biên, Vietnam",,,,,,,,,,,,,,,,,,,,
"Loja, Ecuador",,,,,,,,,,,,,,,,,,,,
"Chocó, Colombia",,,,,,,,,,,,,,,,,,,,
"Varna, Bulgaria",,,,,,,,,,,,,,,,,,,,
"Z̧ufār, Oman",,,,,,,,,,,,,,,,,,,,
"Melaky, Madagascar",,,,,,,,,,,,,,,,,,,,
"Al Marqab, Libya",,,,,,,,,,,,,,,,,,,,
"Ingushskaya, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Imereti, Georgia",,,,,,,,,,,,,,,,,,,,
"Kampong Chhnang [Kâmpóng Chhnang], Cambodia",,,,,,,,,,,,,,,,,,,,
"Vysočina, Czech Republic",,,,,,,,,,,,,,,,,,,,
"Ñuble, Chile",,,,,,,,,,,,,,,,,,,,
"Đắk Nông, Vietnam",,,,,,,,,,,,,,,,,,,,
"Dâmboviţa, Romania",,,,,,,,,,,,,,,,,,,,
"Chin, Myanmar",,,,,,,,,,,,,,,,,,,,
"Bács-Kiskun, Hungary",,,,,,,,,,,,,,,,,,,,
"Batken, Kyrgyzstan",,,,,,,,,,,,,,,,,,,,
"Nueva Vizcaya, Philippines",,,,,,,,,,,,,,,,,,,,
"Cuando Cubango, Angola",,,,,,,,,,,,,,,,,,,,
"Phichit, Thailand",,,,,,,,,,,,,,,,,,,,
"Awdal, Somalia",,,,,,,,,,,,,,,,,,,,
"Western Highlands, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"Haute-Sangha/Mambéré-Kadéï, Central African Republic",,,,,,,,,,,,,,,,,,,,
"Chumphon, Thailand",,,,,,,,,,,,,,,,,,,,
"Lamphun, Thailand",,,,,,,,,,,,,,,,,,,,
"Genève, Switzerland",,,,,,,,,,,,,,,,,,,,
"Oyam, Uganda",,,,,,,,,,,,,,,,,,,,
"Cotopaxi, Ecuador",,,,,,,,,,,,,,,,,,,,
"Phrae, Thailand",,,,,,,,,,,,,,,,,,,,
"Apac, Uganda",,,,,,,,,,,,,,,,,,,,
"Uttaradit, Thailand",,,,,,,,,,,,,,,,,,,,
"Maracha, Uganda",,,,,,,,,,,,,,,,,,,,
"Ghardaïa, Algeria",,,,,,,,,,,,,,,,,,,,
"Janūb al Bāţinah, Oman",,,,,,,,,,,,,,,,,,,,
"Naxçıvan, Azerbaijan",,,,,,,,,,,,,,,,,,,,
"Rogaland, Norway",,,,,,,,,,,,,,,,,,,,
"Lefkosia [Lefkoşa], Cyprus",,,,,,,,,,,,,,,,,,,,
"Maramureş, Romania",,,,,,,,,,,,,,,,,,,,
"Phetchaburi, Thailand",,,,,,,,,,,,,,,,,,,,
"Ucayali, Peru",,,,,,,,,,,,,,,,,,,,
"Oudômxai, Laos",,,,,,,,,,,,,,,,,,,,
"Varsinais-Suomi, Finland",,,,,,,,,,,,,,,,,,,,
"Khammouan, Laos",,,,,,,,,,,,,,,,,,,,
"Ben Arous, Tunisia",,,,,,,,,,,,,,,,,,,,
"Imbabura, Ecuador",,,,,,,,,,,,,,,,,,,,
"Puntarenas, Costa Rica",,,,,,,,,,,,,,,,,,,,
"Northern Bahr el-Ghazal, South Sudan",,,,,,,,,,,,,,,,,,,,
"Kotayk', Armenia",,,,,,,,,,,,,,,,,,,,
"San Pedro, Paraguay",,,,,,,,,,,,,,,,,,,,
"Ra's al Khaymah, United Arab Emirates",,,,,,,,,,,,,,,,,,,,
"Bubanza, Burundi",,,,,,,,,,,,,,,,,,,,
"Southern Leyte, Philippines",,,,,,,,,,,,,,,,,,,,
"Gyór-Moson-Sopron, Hungary",,,,,,,,,,,,,,,,,,,,
"Kasserine, Tunisia",,,,,,,,,,,,,,,,,,,,
"Faro, Portugal",,,,,,,,,,,,,,,,,,,,
"Aïn Témouchent, Algeria",,,,,,,,,,,,,,,,,,,,
"Isparta, Turkey",,,,,,,,,,,,,,,,,,,,
"Kyegegwa, Uganda",,,,,,,,,,,,,,,,,,,,
"Choluteca, Honduras",,,,,,,,,,,,,,,,,,,,
"Sidi Bouzid, Tunisia",,,,,,,,,,,,,,,,,,,,
"Santo Domingo de los Tsáchilas, Ecuador",,,,,,,,,,,,,,,,,,,,
"Sakhalinskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Trøndelag, Norway",,,,,,,,,,,,,,,,,,,,
"Ciego de Ávila, Cuba",,,,,,,,,,,,,,,,,,,,
"Costa Caribe Sur, Nicaragua",,,,,,,,,,,,,,,,,,,,
"Östergötlands län, Sweden",,,,,,,,,,,,,,,,,,,,
"Sancti Spíritus, Cuba",,,,,,,,,,,,,,,,,,,,
"El Beni, Bolivia",,,,,,,,,,,,,,,,,,,,
"San Miguel, El Salvador",,,,,,,,,,,,,,,,,,,,
"Al Wādī al Jadīd, Egypt",,,,,,,,,,,,,,,,,,,,
"Nebbi, Uganda",,,,,,,,,,,,,,,,,,,,
"Al Baḩr al Aḩmar, Egypt",,,,,,,,,,,,,,,,,,,,
"Al Awsaţ, Eritrea",,,,,,,,,,,,,,,,,,,,
"Nišavski okrug, Serbia",,,,,,,,,,,,,,,,,,,,
"Bengo, Angola",,,,,,,,,,,,,,,,,,,,
"Masaya, Nicaragua",,,,,,,,,,,,,,,,,,,,
"Leiria, Portugal",,,,,,,,,,,,,,,,,,,,
"Svaay Rieng [Svay Riĕng], Cambodia",,,,,,,,,,,,,,,,,,,,
"Īlām, Iran",,,,,,,,,,,,,,,,,,,,
"Edirne, Turkey",,,,,,,,,,,,,,,,,,,,
"Flevoland, Netherlands",,,,,,,,,,,,,,,,,,,,
"Prachuap Khiri Khan, Thailand",,,,,,,,,,,,,,,,,,,,
"Adygeya, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Buyende, Uganda",,,,,,,,,,,,,,,,,,,,
"Mahdia, Tunisia",,,,,,,,,,,,,,,,,,,,
"Kayunga, Uganda",,,,,,,,,,,,,,,,,,,,
"Splitsko-dalmatinska županija, Croatia",,,,,,,,,,,,,,,,,,,,
"Al Jahrā’, Kuwait",,,,,,,,,,,,,,,,,,,,
"Phayao, Thailand",,,,,,,,,,,,,,,,,,,,
"Cibao Noroeste, Dominican Republic",,,,,,,,,,,,,,,,,,,,
"Neamţ, Romania",,,,,,,,,,,,,,,,,,,,
"'Ajmān, United Arab Emirates",,,,,,,,,,,,,,,,,,,,
"Nord-Est, Haiti",,,,,,,,,,,,,,,,,,,,
"Fejér, Hungary",,,,,,,,,,,,,,,,,,,,
"Kakumiro, Uganda",,,,,,,,,,,,,,,,,,,,
"Limón, Costa Rica",,,,,,,,,,,,,,,,,,,,
"Chiquimula, Guatemala",,,,,,,,,,,,,,,,,,,,
"Nan, Thailand",,,,,,,,,,,,,,,,,,,,
"Buzău, Romania",,,,,,,,,,,,,,,,,,,,
"Osh Shaary, Kyrgyzstan",,,,,,,,,,,,,,,,,,,,
"Kaesong Industrial Region, North Korea",,,,,,,,,,,,,,,,,,,,
"Ileía, Greece",,,,,,,,,,,,,,,,,,,,
"Enriquillo, Dominican Republic",,,,,,,,,,,,,,,,,,,,
"Mişrātah, Libya",,,,,,,,,,,,,,,,,,,,
"Kiruhura, Uganda",,,,,,,,,,,,,,,,,,,,
"Vestfold og Telemark, Norway",,,,,,,,,,,,,,,,,,,,
"Xaignabouli, Laos",,,,,,,,,,,,,,,,,,,,
"Nkhotakota, Malawi",,,,,,,,,,,,,,,,,,,,
"Catamarca, Argentina",,,,,,,,,,,,,,,,,,,,
"Salāmāt, Chad",,,,,,,,,,,,,,,,,,,,
"Liberecký kraj, Czech Republic",,,,,,,,,,,,,,,,,,,,
"Rumonge, Burundi",,,,,,,,,,,,,,,,,,,,
"Amnat Charoen, Thailand",,,,,,,,,,,,,,,,,,,,
"Copán, Honduras",,,,,,,,,,,,,,,,,,,,
"Al Bāḩah, Saudi Arabia",,,,,,,,,,,,,,,,,,,,
"Beyrouth, Lebanon",,,,,,,,,,,,,,,,,,,,
"Ntchisi, Malawi",,,,,,,,,,,,,,,,,,,,
"Karonga, Malawi",,,,,,,,,,,,,,,,,,,,
"Los Ríos, Chile",,,,,,,,,,,,,,,,,,,,
"Busia, Uganda",,,,,,,,,,,,,,,,,,,,
"Bong, Liberia",,,,,,,,,,,,,,,,,,,,
"Balaka, Malawi",,,,,,,,,,,,,,,,,,,,
"Baalbek-Hermel, Lebanon",,,,,,,,,,,,,,,,,,,,
"Guelmim-Oued Noun (EH-partial), Morocco",,,,,,,,,,,,,,,,,,,,
"Andjazîdja [Grande Comore], Comoros",,,,,,,,,,,,,,,,,,,,
"An Nuqāţ al Khams, Libya",,,,,,,,,,,,,,,,,,,,
"Chinandega, Nicaragua",,,,,,,,,,,,,,,,,,,,
"Sulu, Philippines",,,,,,,,,,,,,,,,,,,,
"Ilfov, Romania",,,,,,,,,,,,,,,,,,,,
"Cienfuegos, Cuba",,,,,,,,,,,,,,,,,,,,
"Baḩr al Ghazāl, Chad",,,,,,,,,,,,,,,,,,,,
"Santarém, Portugal",,,,,,,,,,,,,,,,,,,,
"Cuanza-Norte, Angola",,,,,,,,,,,,,,,,,,,,
"Nong Khai, Thailand",,,,,,,,,,,,,,,,,,,,
"La Rioja, Argentina",,,,,,,,,,,,,,,,,,,,
"Muramvya, Burundi",,,,,,,,,,,,,,,,,,,,
"Luzern, Switzerland",,,,,,,,,,,,,,,,,,,,
"Arad, Romania",,,,,,,,,,,,,,,,,,,,
"Düzce, Turkey",,,,,,,,,,,,,,,,,,,,
"El Tarf, Algeria",,,,,,,,,,,,,,,,,,,,
"Olt, Romania",,,,,,,,,,,,,,,,,,,,
"Zābul, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Mukdahan, Thailand",,,,,,,,,,,,,,,,,,,,
"Khomas, Namibia",,,,,,,,,,,,,,,,,,,,
"Yala, Thailand",,,,,,,,,,,,,,,,,,,,
"Assaba, Mauritania",,,,,,,,,,,,,,,,,,,,
"Kvemo Kartli, Georgia",,,,,,,,,,,,,,,,,,,,
"Gabès, Tunisia",,,,,,,,,,,,,,,,,,,,
"Tharaka-Nithi, Kenya",,,,,,,,,,,,,,,,,,,,
"Santa Elena, Ecuador",,,,,,,,,,,,,,,,,,,,
"Amazonas, Peru",,,,,,,,,,,,,,,,,,,,
"Aksaray, Turkey",,,,,,,,,,,,,,,,,,,,
"Apurímac, Peru",,,,,,,,,,,,,,,,,,,,
"Yamoussoukro, Ivory Coast",,,,,,,,,,,,,,,,,,,,
"Putumayo, Colombia",,,,,,,,,,,,,,,,,,,,
"Saïda, Algeria",,,,,,,,,,,,,,,,,,,,
"Burgas, Bulgaria",,,,,,,,,,,,,,,,,,,,
"Pohjois-Pohjanmaa, Finland",,,,,,,,,,,,,,,,,,,,
"Kweneng, Botswana",,,,,,,,,,,,,,,,,,,,
"Al Ḩudūd ash Shamālīyah, Saudi Arabia",,,,,,,,,,,,,,,,,,,,
"Santa Cruz, Argentina",,,,,,,,,,,,,,,,,,,,
"Béqaa, Lebanon",,,,,,,,,,,,,,,,,,,,
"Jendouba, Tunisia",,,,,,,,,,,,,,,,,,,,
"Australian Capital Territory, Australia",,,,,,,,,,,,,,,,,,,,
"Nippes, Haiti",,,,,,,,,,,,,,,,,,,,
"Uşak, Turkey",,,,,,,,,,,,,,,,,,,,
"Central, Fiji",,,,,,,,,,,,,,,,,,,,
"León, Nicaragua",,,,,,,,,,,,,,,,,,,,
"Tarapacá, Chile",,,,,,,,,,,,,,,,,,,,
"Csongrád, Hungary",,,,,,,,,,,,,,,,,,,,
"Masaka, Uganda",,,,,,,,,,,,,,,,,,,,
"Yasothon, Thailand",,,,,,,,,,,,,,,,,,,,
"Lofa, Liberia",,,,,,,,,,,,,,,,,,,,
"Bolikhamxai, Laos",,,,,,,,,,,,,,,,,,,,
"Gorgol, Mauritania",,,,,,,,,,,,,,,,,,,,
"Ansabā, Eritrea",,,,,,,,,,,,,,,,,,,,
"Guadeloupe, France",,,,,,,,,,,,,,,,,,,,
"Ahuachapán, El Salvador",,,,,,,,,,,,,,,,,,,,
"Siirt, Turkey",,,,,,,,,,,,,,,,,,,,
"Giresun, Turkey",,,,,,,,,,,,,,,,,,,,
"Mwaro, Burundi",,,,,,,,,,,,,,,,,,,,
"Sevastopol, Ukraine",,,,,,,,,,,,,,,,,,,,
"Guanacaste, Costa Rica",,,,,,,,,,,,,,,,,,,,
"Kastamonu, Turkey",,,,,,,,,,,,,,,,,,,,
"Pousaat [Poŭthĭsăt], Cambodia",,,,,,,,,,,,,,,,,,,,
"Botoşani, Romania",,,,,,,,,,,,,,,,,,,,
"Manzini, Eswatini",,,,,,,,,,,,,,,,,,,,
"Santa Rosa, Guatemala",,,,,,,,,,,,,,,,,,,,
"Mityana, Uganda",,,,,,,,,,,,,,,,,,,,
"Yozgat, Turkey",,,,,,,,,,,,,,,,,,,,
"Coimbra, Portugal",,,,,,,,,,,,,,,,,,,,
"Laâyoune-Sakia El Hamra (EH-partial), Morocco",,,,,,,,,,,,,,,,,,,,
"Zeeland, Netherlands",,,,,,,,,,,,,,,,,,,,
"Soroti, Uganda",,,,,,,,,,,,,,,,,,,,
"Jalapa, Guatemala",,,,,,,,,,,,,,,,,,,,
"Kabarole, Uganda",,,,,,,,,,,,,,,,,,,,
"Sibiu, Romania",,,,,,,,,,,,,,,,,,,,
"Jubbada Dhexe, Somalia",,,,,,,,,,,,,,,,,,,,
"Kracheh [Krâchéh], Cambodia",,,,,,,,,,,,,,,,,,,,
"Vorarlberg, Austria",,,,,,,,,,,,,,,,,,,,
"Ma'rib, Yemen",,,,,,,,,,,,,,,,,,,,
"Brakna, Mauritania",,,,,,,,,,,,,,,,,,,,
"Plaines Wilhems, Mauritius",,,,,,,,,,,,,,,,,,,,
"Serere, Uganda",,,,,,,,,,,,,,,,,,,,
"Muş, Turkey",,,,,,,,,,,,,,,,,,,,
"Tacna, Peru",,,,,,,,,,,,,,,,,,,,
"Cankuzo, Burundi",,,,,,,,,,,,,,,,,,,,
"Hunedoara, Romania",,,,,,,,,,,,,,,,,,,,
"Jász-Nagykun-Szolnok, Hungary",,,,,,,,,,,,,,,,,,,,
"Ouaka, Central African Republic",,,,,,,,,,,,,,,,,,,,
"Mayabeque, Cuba",,,,,,,,,,,,,,,,,,,,
"Cojedes, Venezuela",,,,,,,,,,,,,,,,,,,,
"Martinique, France",,,,,,,,,,,,,,,,,,,,
"Ad Dākhilīyah, Oman",,,,,,,,,,,,,,,,,,,,
"Jönköpings län, Sweden",,,,,,,,,,,,,,,,,,,,
"La Guaira, Venezuela",,,,,,,,,,,,,,,,,,,,
"Innlandet, Norway",,,,,,,,,,,,,,,,,,,,
"Ticino, Switzerland",,,,,,,,,,,,,,,,,,,,
"Wallis, Switzerland",,,,,,,,,,,,,,,,,,,,
"Díli, East Timor",,,,,,,,,,,,,,,,,,,,
"Al Karak, Jordan",,,,,,,,,,,,,,,,,,,,
"Rukungiri, Uganda",,,,,,,,,,,,,,,,,,,,
"Khan Yunis, State of Palestine",,,,,,,,,,,,,,,,,,,,
"La Pampa, Argentina",,,,,,,,,,,,,,,,,,,,
"Teleorman, Romania",,,,,,,,,,,,,,,,,,,,
"Masindi, Uganda",,,,,,,,,,,,,,,,,,,,
"Usulután, El Salvador",,,,,,,,,,,,,,,,,,,,
"La Paz, El Salvador",,,,,,,,,,,,,,,,,,,,
"Andaman and Nicobar Islands, India",,,,,,,,,,,,,,,,,,,,
"Kırklareli, Turkey",,,,,,,,,,,,,,,,,,,,
"Lempira, Honduras",,,,,,,,,,,,,,,,,,,,
"North Gaza, State of Palestine",,,,,,,,,,,,,,,,,,,,
"Taita/Taveta, Kenya",,,,,,,,,,,,,,,,,,,,
"Retalhuleu, Guatemala",,,,,,,,,,,,,,,,,,,,
"Sacatepéquez, Guatemala",,,,,,,,,,,,,,,,,,,,
"Vaslui, Romania",,,,,,,,,,,,,,,,,,,,
"As Suwaydā', Syria",,,,,,,,,,,,,,,,,,,,
"Ranong, Thailand",,,,,,,,,,,,,,,,,,,,
"Baranya, Hungary",,,,,,,,,,,,,,,,,,,,
"Gafsa, Tunisia",,,,,,,,,,,,,,,,,,,,
"Amuria, Uganda",,,,,,,,,,,,,,,,,,,,
"Phalombe, Malawi",,,,,,,,,,,,,,,,,,,,
"Béchar, Algeria",,,,,,,,,,,,,,,,,,,,
"Amasya, Turkey",,,,,,,,,,,,,,,,,,,,
"Arauca, Colombia",,,,,,,,,,,,,,,,,,,,
"Nevşehir, Turkey",,,,,,,,,,,,,,,,,,,,
"Colón, Honduras",,,,,,,,,,,,,,,,,,,,
"Vâlcea, Romania",,,,,,,,,,,,,,,,,,,,
"Western, Fiji",,,,,,,,,,,,,,,,,,,,
"Tissemsilt, Algeria",,,,,,,,,,,,,,,,,,,,
"Kisoro, Uganda",,,,,,,,,,,,,,,,,,,,
"Davao Occidental, Philippines",,,,,,,,,,,,,,,,,,,,
"El Bayadh, Algeria",,,,,,,,,,,,,,,,,,,,
"Mubārak al Kabīr, Kuwait",,,,,,,,,,,,,,,,,,,,
"Kyotera, Uganda",,,,,,,,,,,,,,,,,,,,
"Krabi, Thailand",,,,,,,,,,,,,,,,,,,,
"Kiryandongo, Uganda",,,,,,,,,,,,,,,,,,,,
"East New Britain, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"Hodh el Gharbi, Mauritania",,,,,,,,,,,,,,,,,,,,
"Uppsala län, Sweden",,,,,,,,,,,,,,,,,,,,
"Cordillera, Paraguay",,,,,,,,,,,,,,,,,,,,
"Satu Mare, Romania",,,,,,,,,,,,,,,,,,,,
"Betsiboka, Madagascar",,,,,,,,,,,,,,,,,,,,
"Leribe, Lesotho",,,,,,,,,,,,,,,,,,,,
"Stînga Nistrului, unitatea teritorială din, Moldova",,,,,,,,,,,,,,,,,,,,
"Pallisa, Uganda",,,,,,,,,,,,,,,,,,,,
"Basse-Kotto, Central African Republic",,,,,,,,,,,,,,,,,,,,
"Guidimaka, Mauritania",,,,,,,,,,,,,,,,,,,,
"Sinuiju Special Administrative Region, North Korea",,,,,,,,,,,,,,,,,,,,
"Gulu, Uganda",,,,,,,,,,,,,,,,,,,,
"Corse, France",,,,,,,,,,,,,,,,,,,,
"Ajaria, Georgia",,,,,,,,,,,,,,,,,,,,
"Lobaye, Central African Republic",,,,,,,,,,,,,,,,,,,,
"Viseu, Portugal",,,,,,,,,,,,,,,,,,,,
"Naama, Algeria",,,,,,,,,,,,,,,,,,,,
"Bitlis, Turkey",,,,,,,,,,,,,,,,,,,,
"Hhohho, Eswatini",,,,,,,,,,,,,,,,,,,,
"Moûhîlî [Mohéli], Comoros",,,,,,,,,,,,,,,,,,,,
"Veszprém, Hungary",,,,,,,,,,,,,,,,,,,,
"Denguélé, Ivory Coast",,,,,,,,,,,,,,,,,,,,
"Rize, Turkey",,,,,,,,,,,,,,,,,,,,
"Freiburg, Switzerland",,,,,,,,,,,,,,,,,,,,
"Berea, Lesotho",,,,,,,,,,,,,,,,,,,,
"Békés, Hungary",,,,,,,,,,,,,,,,,,,,
"Namutumba, Uganda",,,,,,,,,,,,,,,,,,,,
"Hallands län, Sweden",,,,,,,,,,,,,,,,,,,,
"Kumi, Uganda",,,,,,,,,,,,,,,,,,,,
"Alba, Romania",,,,,,,,,,,,,,,,,,,,
"Chiradzulu, Malawi",,,,,,,,,,,,,,,,,,,,
"Niğde, Turkey",,,,,,,,,,,,,,,,,,,,
"Gorj, Romania",,,,,,,,,,,,,,,,,,,,
"Milne Bay, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"Atacama, Chile",,,,,,,,,,,,,,,,,,,,
"Zagrebačka županija, Croatia",,,,,,,,,,,,,,,,,,,,
"Raški okrug, Serbia",,,,,,,,,,,,,,,,,,,,
"Baja Verapaz, Guatemala",,,,,,,,,,,,,,,,,,,,
"Brunei-Muara, Brunei",,,,,,,,,,,,,,,,,,,,
"Ulster, Ireland",,,,,,,,,,,,,,,,,,,,
"Nkhata Bay, Malawi",,,,,,,,,,,,,,,,,,,,
"Vrancea, Romania",,,,,,,,,,,,,,,,,,,,
"Demerara-Mahaica, Guyana",,,,,,,,,,,,,,,,,,,,
"Ladākh, India",,,,,,,,,,,,,,,,,,,,
"Tyva, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Butaleja, Uganda",,,,,,,,,,,,,,,,,,,,
"Hakkâri, Turkey",,,,,,,,,,,,,,,,,,,,
"Kars, Turkey",,,,,,,,,,,,,,,,,,,,
"Xiangkhouang, Laos",,,,,,,,,,,,,,,,,,,,
"Nana-Mambéré, Central African Republic",,,,,,,,,,,,,,,,,,,,
"Sembabule, Uganda",,,,,,,,,,,,,,,,,,,,
"Klaipėdos apskritis, Lithuania",,,,,,,,,,,,,,,,,,,,
"Marsabit, Kenya",,,,,,,,,,,,,,,,,,,,
"Zombo, Uganda",,,,,,,,,,,,,,,,,,,,
"Kole, Uganda",,,,,,,,,,,,,,,,,,,,
"Nsanje, Malawi",,,,,,,,,,,,,,,,,,,,
"Kayah, Myanmar",,,,,,,,,,,,,,,,,,,,
"Romblon, Philippines",,,,,,,,,,,,,,,,,,,,
"Bolu, Turkey",,,,,,,,,,,,,,,,,,,,
"Béja, Tunisia",,,,,,,,,,,,,,,,,,,,
"Samburu, Kenya",,,,,,,,,,,,,,,,,,,,
"Colón, Panama",,,,,,,,,,,,,,,,,,,,
"West New Britain, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"La Rioja, Spain",,,,,,,,,,,,,,,,,,,,
"Kamchatskiy kray, Russia",,,,,,,,,,,,,,,,,,,,
"Kaliro, Uganda",,,,,,,,,,,,,,,,,,,,
"Nótio Aigaío, Greece",,,,,,,,,,,,,,,,,,,,
"Catanduanes, Philippines",,,,,,,,,,,,,,,,,,,,
"Mpigi, Uganda",,,,,,,,,,,,,,,,,,,,
"Örebro län, Sweden",,,,,,,,,,,,,,,,,,,,
"Kalinga, Philippines",,,,,,,,,,,,,,,,,,,,
"Blagoevgrad, Bulgaria",,,,,,,,,,,,,,,,,,,,
"Pasco, Peru",,,,,,,,,,,,,,,,,,,,
"Heves, Hungary",,,,,,,,,,,,,,,,,,,,
"Western Bahr el-Ghazal, South Sudan",,,,,,,,,,,,,,,,,,,,
"Mayotte, France",,,,,,,,,,,,,,,,,,,,
"Bay of Plenty, New Zealand",,,,,,,,,,,,,,,,,,,,
"Brăila, Romania",,,,,,,,,,,,,,,,,,,,
"K'akheti, Georgia",,,,,,,,,,,,,,,,,,,,
"Bougainville, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"Ljubljana, Slovenia",,,,,,,,,,,,,,,,,,,,
"Harghita, Romania",,,,,,,,,,,,,,,,,,,,
"Šumadijski okrug, Serbia",,,,,,,,,,,,,,,,,,,,
"Bueng Kan, Thailand",,,,,,,,,,,,,,,,,,,,
"Stara Zagora, Bulgaria",,,,,,,,,,,,,,,,,,,,
"Agder, Norway",,,,,,,,,,,,,,,,,,,,
"Upper River, The Gambia",,,,,,,,,,,,,,,,,,,,
"Kırıkkale, Turkey",,,,,,,,,,,,,,,,,,,,
"Bilecik, Turkey",,,,,,,,,,,,,,,,,,,,
"Kyankwanzi, Uganda",,,,,,,,,,,,,,,,,,,,
"Somogy, Hungary",,,,,,,,,,,,,,,,,,,,
"Al Khawr wa adh Dhakhīrah, Qatar",,,,,,,,,,,,,,,,,,,,
"Armavir, Armenia",,,,,,,,,,,,,,,,,,,,
"Durrës, Albania",,,,,,,,,,,,,,,,,,,,
"Biombo, Guinea-Bissau",,,,,,,,,,,,,,,,,,,,
"Mtskheta-Mtianeti, Georgia",,,,,,,,,,,,,,,,,,,,
"Nablus, State of Palestine",,,,,,,,,,,,,,,,,,,,
"Gaborone, Botswana",,,,,,,,,,,,,,,,,,,,
"Nueva Segovia, Nicaragua",,,,,,,,,,,,,,,,,,,,
"Sironko, Uganda",,,,,,,,,,,,,,,,,,,,
"Kalmykiya, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Central, Papua New Guinea",,,,,,,,,,,,,,,,,,,,
"Samegrelo-Zemo Svaneti, Georgia",,,,,,,,,,,,,,,,,,,,
"Kanungu, Uganda",,,,,,,,,,,,,,,,,,,,
"Ibanda, Uganda",,,,,,,,,,,,,,,,,,,,
"Södermanlands län, Sweden",,,,,,,,,,,,,,,,,,,,
"Giurgiu, Romania",,,,,,,,,,,,,,,,,,,,
"El Valle, Dominican Republic",,,,,,,,,,,,,,,,,,,,
"Bingöl, Turkey",,,,,,,,,,,,,,,,,,,,
"Lai Châu, Vietnam",,,,,,,,,,,,,,,,,,,,
"Oio, Guinea-Bissau",,,,,,,,,,,,,,,,,,,,
"Burdur, Turkey",,,,,,,,,,,,,,,,,,,,
"Naryn, Kyrgyzstan",,,,,,,,,,,,,,,,,,,,
"Solothurn, Switzerland",,,,,,,,,,,,,,,,,,,,
"Hārerī Hizb, Ethiopia",,,,,,,,,,,,,,,,,,,,
"Kaberamaido, Uganda",,,,,,,,,,,,,,,,,,,,
"Luuka, Uganda",,,,,,,,,,,,,,,,,,,,
"Rakai, Uganda",,,,,,,,,,,,,,,,,,,,
"Gabú, Guinea-Bissau",,,,,,,,,,,,,,,,,,,,
"French Guiana, France",,,,,,,,,,,,,,,,,,,,
"Abkhazia, Georgia",,,,,,,,,,,,,,,,,,,,
"Karlovarský kraj, Czech Republic",,,,,,,,,,,,,,,,,,,,
"New Caledonia, France",,,,,,,,,,,,,,,,,,,,
"Namayingo, Uganda",,,,,,,,,,,,,,,,,,,,
"Burgenland, Austria",,,,,,,,,,,,,,,,,,,,
"Houaphan, Laos",,,,,,,,,,,,,,,,,,,,
"Molise, Italy",,,,,,,,,,,,,,,,,,,,
"Grand Bassa, Liberia",,,,,,,,,,,,,,,,,,,,
"Bududa, Uganda",,,,,,,,,,,,,,,,,,,,
"Margibi, Liberia",,,,,,,,,,,,,,,,,,,,
"Osječko-baranjska županija, Croatia",,,,,,,,,,,,,,,,,,,,
"New Providence, The Bahamas",,,,,,,,,,,,,,,,,,,,
"Ararat, Armenia",,,,,,,,,,,,,,,,,,,,
"Călăraşi, Romania",,,,,,,,,,,,,,,,,,,,
"Talas, Kyrgyzstan",,,,,,,,,,,,,,,,,,,,
"Västmanlands län, Sweden",,,,,,,,,,,,,,,,,,,,
"Koboko, Uganda",,,,,,,,,,,,,,,,,,,,
"Primorsko-goranska županija, Croatia",,,,,,,,,,,,,,,,,,,,
"Deir El Balah, State of Palestine",,,,,,,,,,,,,,,,,,,,
"Bistriţa-Năsăud, Romania",,,,,,,,,,,,,,,,,,,,
"Dalarnas län, Sweden",,,,,,,,,,,,,,,,,,,,
"Bethlehem, State of Palestine",,,,,,,,,,,,,,,,,,,,
"Concepción, Paraguay",,,,,,,,,,,,,,,,,,,,
